"","country","date","update","cases","new_cases","Birth","new_Birth","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","Birthper100k","newBirthper100k","days_since_case100","days_since_death10"
"15","Afghanistan",2020-05-22,122,9216,540,205,12,996,58,8015,23.7,1.4,20.6,0.5,0,56,46
"140","Albania",2020-05-22,122,981,12,31,0,777,6,173,34.1,0.4,6,1.1,0,60,55
"231","Algeria",2020-05-22,122,7918,190,582,7,4256,194,3080,18.1,0.4,7,1.3,0,62,63
"290","Andorra",2020-05-22,122,762,0,51,0,652,13,59,989.6,0,76.6,66.2,0,61,52
"355","Angola",2020-05-22,122,60,2,3,0,17,0,40,0.2,0,0.1,0,0,0,0
"437","Antigua and Barbuda",2020-05-22,122,25,0,3,0,19,0,3,25.5,0,3.1,3.1,0,0,0
"522","Argentina",2020-05-22,122,10649,718,433,17,3062,30,7154,23.6,1.6,15.8,1,0,63,56
"554","Armenia",2020-05-22,122,5928,322,74,4,2874,293,2980,200.1,10.9,100.6,2.5,0.1,64,43
"713","Australia",2020-05-22,122,7099,4,101,0,6485,7,513,27.8,0,2,0.4,0,73,57
"771","Austria",2020-05-22,122,16436,32,635,2,15005,54,796,182.5,0.4,8.8,7.1,0,75,61
"899","Azerbaijan",2020-05-22,122,3855,106,46,2,2399,59,1410,38,1,13.9,0.5,0,57,42
"994","Bahrain",2020-05-22,122,8414,240,12,0,4096,223,4306,494.4,14.1,253,0.7,0,73,9
"1065","Bangladesh",2020-05-22,122,30205,1694,432,24,6190,588,23583,18.3,1,14.3,0.3,0,46,46
"1092","Barbados",2020-05-22,122,90,0,7,0,70,0,13,31.4,0,4.5,2.4,0,0,0
"1202","Belarus",2020-05-22,122,34303,932,190,5,12833,776,21280,363,9.9,225.2,2,0.1,53,46
"1341","Belgium",2020-05-22,122,56511,276,9212,26,15123,135,32176,487.6,2.4,277.6,79.5,0.2,77,66
"1379","Belize",2020-05-22,122,18,0,2,0,16,0,0,4.5,0,0,0.5,0,0,0
"1422","Benin",2020-05-22,122,135,0,3,0,61,0,71,1.1,0,0.6,0,0,15,0
"1544","Bhutan",2020-05-22,122,21,0,0,0,6,0,15,2.7,0,1.9,0,0,0,0
"1627","Bolivia",2020-05-22,122,5579,392,230,15,575,14,4774,47.8,3.4,40.9,2,0.1,52,48
"1634","Bosnia and Herzegovina",2020-05-22,122,2372,22,141,1,1614,18,617,72.3,0.7,18.8,4.3,0,61,53
